lg_id,gs,fg_pct,stl_per_g,pos,pts_per_g,team_id,fg2a_per_g,pf_per_g,efg_pct,fta_per_g,blk_per_g,fg2_per_g,fg3a_per_g,ast_per_g,fga_per_g,ft_pct,fg_per_g,season,orb_per_g,fg3_pct,ft_per_g,trb_per_g,tov_per_g,g,age,drb_per_g,fg2_pct,fg3_per_g,mp_per_g,player_name
NBA,82,.538,1.2,C,20.6,HOU,15.3,4.2,.538,6.7,2.7,8.3,0.0,1.4,15.3,.613,8.3,1984-85,5.4,,4.1,11.9,2.9,82,22,6.5,.538,0.0,35.5,Hakeem Olajuwon
NBA,68,.526,2.0,C,23.5,HOU,17.5,4.0,.526,7.9,3.4,9.2,0.0,2.0,17.5,.645,9.2,1985-86,4.9,,5.1,11.5,2.9,68,23,6.6,.526,0.0,36.3,Hakeem Olajuwon
NBA,75,.508,1.9,C,23.4,HOU,17.7,3.9,.509,7.6,3.4,9.0,0.1,2.9,17.8,.702,9.0,1986-87,4.2,.200,5.3,11.4,3.0,75,24,7.2,.509,0.0,36.8,Hakeem Olajuwon
NBA,79,.514,2.1,C,22.8,HOU,17.5,4.1,.514,6.9,2.7,9.0,0.1,2.1,17.5,.695,9.0,1987-88,3.8,.000,4.8,12.1,3.1,79,25,8.3,.516,0.0,35.8,Hakeem Olajuwon
NBA,82,.508,2.6,C,24.8,HOU,18.9,4.0,.508,8.0,3.4,9.6,0.1,1.8,19.0,.696,9.6,1988-89,4.1,.000,5.5,13.5,3.4,82,26,9.4,.511,0.0,36.9,Hakeem Olajuwon
NBA,82,.501,2.1,C,24.3,HOU,19.5,3.8,.501,6.5,4.6,9.8,0.1,2.9,19.6,.713,9.8,1989-90,3.6,.167,4.7,14.0,3.9,82,27,10.4,.502,0.0,38.1,Hakeem Olajuwon
NBA,50,.508,2.2,C,21.2,HOU,17.1,3.9,.508,4.9,3.9,8.7,0.1,2.3,17.1,.769,8.7,1990-91,3.9,.000,3.8,13.8,3.1,56,28,9.8,.510,0.0,36.8,Hakeem Olajuwon
NBA,69,.502,1.8,C,21.6,HOU,16.8,3.8,.502,6.1,4.3,8.4,0.0,2.2,16.8,.766,8.4,1991-92,3.5,.000,4.7,12.1,2.7,70,29,8.6,.503,0.0,37.7,Hakeem Olajuwon
NBA,82,.529,1.8,C,26.1,HOU,19.5,3.7,.529,7.0,4.2,10.3,0.1,3.5,19.5,.779,10.3,1992-93,3.5,.000,5.4,13.0,3.2,82,30,9.6,.532,0.0,39.5,Hakeem Olajuwon
NBA,80,.528,1.6,C,27.3,HOU,20.9,3.6,.530,6.8,3.7,11.1,0.2,3.6,21.2,.716,11.2,1993-94,2.9,.421,4.9,11.9,3.4,80,31,9.1,.529,0.1,41.0,Hakeem Olajuwon
NBA,72,.517,1.8,C,27.8,HOU,21.2,3.5,.517,7.5,3.4,11.0,0.2,3.5,21.5,.756,11.1,1994-95,2.4,.188,5.6,10.8,3.3,72,32,8.4,.520,0.0,39.6,Hakeem Olajuwon
NBA,72,.514,1.6,C,26.9,HOU,20.6,3.4,.515,7.6,2.9,10.6,0.2,3.6,20.8,.724,10.7,1995-96,2.4,.214,5.5,10.9,3.4,72,33,8.4,.517,0.0,38.8,Hakeem Olajuwon
NBA,78,.510,1.5,C,23.2,HOU,18.1,3.2,.512,5.7,2.2,9.3,0.2,3.0,18.3,.787,9.3,1996-97,2.2,.313,4.5,9.2,3.6,78,34,7.0,.512,0.1,36.6,Hakeem Olajuwon
NBA,45,.483,1.8,C,16.4,HOU,13.4,3.2,.483,4.5,2.0,6.5,0.1,3.0,13.5,.755,6.5,1997-98,2.5,.000,3.4,9.8,2.7,47,35,7.3,.486,0.0,34.7,Hakeem Olajuwon
NBA,50,.514,1.6,C,18.9,HOU,14.2,3.2,.517,5.4,2.5,7.4,0.3,1.8,14.5,.717,7.5,1998-99,2.1,.308,3.9,9.6,2.8,50,36,7.4,.518,0.1,35.7,Hakeem Olajuwon
NBA,28,.458,0.9,C,10.3,HOU,9.5,2.0,.458,2.5,1.6,4.4,0.0,1.4,9.6,.616,4.4,1999-00,1.5,.000,1.6,6.2,1.7,44,37,4.8,.461,0.0,23.8,Hakeem Olajuwon
NBA,55,.498,1.2,C,11.9,HOU,9.8,2.4,.498,3.4,1.5,4.9,0.0,1.2,9.8,.621,4.9,2000-01,2.1,.000,2.1,7.4,1.4,58,38,5.3,.499,0.0,26.6,Hakeem Olajuwon
NBA,37,.464,1.2,C,7.1,TOR,6.8,2.4,.464,1.4,1.5,3.2,0.0,1.1,6.9,.560,3.2,2001-02,1.6,.000,0.8,6.0,1.6,61,39,4.4,.466,0.0,22.6,Hakeem Olajuwon
